date,pmm_sst
1948-01-01,-1.36
1948-02-01,-6.94
1948-03-01,-6.13
1948-04-01,-1.68
1948-05-01,-0.13
1948-06-01,-0.21
1948-07-01,3.3
1948-08-01,3.54
1948-09-01,1.72
1948-10-01,-2.05
1948-11-01,-3.0
1948-12-01,-1.57
1949-01-01,-2.69
1949-02-01,-3.08
1949-03-01,-3.2
1949-04-01,-3.76
1949-05-01,-1.56
1949-06-01,-0.33
1949-07-01,1.95
1949-08-01,1.59
1949-09-01,-0.8
1949-10-01,-1.06
1949-11-01,-0.17
1949-12-01,0.32
1950-01-01,0.18
1950-02-01,0.18
1950-03-01,-0.81
1950-04-01,-0.23
1950-05-01,-0.22
1950-06-01,0.28
1950-07-01,0.45
1950-08-01,-0.58
1950-09-01,-0.31
1950-10-01,-0.59
1950-11-01,-0.45
1950-12-01,0.98
1951-01-01,-1.11
1951-02-01,-1.69
1951-03-01,-1.52
1951-04-01,-0.74
1951-05-01,0.16
1951-06-01,-0.29
1951-07-01,-2.28
1951-08-01,-2.63
1951-09-01,-2.12
1951-10-01,-2.63
1951-11-01,-3.36
1951-12-01,-3.36
1952-01-01,-2.77
1952-02-01,-1.18
1952-03-01,-1.59
1952-04-01,-0.75
1952-05-01,0.57
1952-06-01,-0.4
1952-07-01,-0.19
1952-08-01,-0.02
1952-09-01,-1.12
1952-10-01,0.21
1952-11-01,-0.41
1952-12-01,-1.15
1953-01-01,-2.23
1953-02-01,-3.46
1953-03-01,-3.63
1953-04-01,-2.51
1953-05-01,-2.68
1953-06-01,-3.39
1953-07-01,-2.38
1953-08-01,-2.05
1953-09-01,-3.7
1953-10-01,-3.7
1953-11-01,-3.42
1953-12-01,-3.26
1954-01-01,-0.73
1954-02-01,0.35
1954-03-01,1.01
1954-04-01,4.78
1954-05-01,4.35
1954-06-01,2.25
1954-07-01,1.84
1954-08-01,1.37
1954-09-01,0.88
1954-10-01,0.34
1954-11-01,-0.16
1954-12-01,0.79
1955-01-01,-0.75
1955-02-01,-2.58
1955-03-01,-1.88
1955-04-01,-2.78
1955-05-01,-1.96
1955-06-01,-1.65
1955-07-01,-1.75
1955-08-01,-2.97
1955-09-01,-1.71
1955-10-01,-2.48
1955-11-01,-1.73
1955-12-01,-0.89
1956-01-01,0.47
1956-02-01,-0.45
1956-03-01,-2.34
1956-04-01,-2.24
1956-05-01,-2.39
1956-06-01,-3.68
1956-07-01,-3.17
1956-08-01,-1.95
1956-09-01,-2.77
1956-10-01,-2.25
1956-11-01,-0.67
1956-12-01,0.83
1957-01-01,1.37
1957-02-01,1.26
1957-03-01,0.12
1957-04-01,1.6
1957-05-01,1.01
1957-06-01,0.47
1957-07-01,-0.99
1957-08-01,-1.45
1957-09-01,0.35
1957-10-01,0.73
1957-11-01,0.5
1957-12-01,1.16
1958-01-01,2.24
1958-02-01,3.51
1958-03-01,3.29
1958-04-01,2.48
1958-05-01,3.06
1958-06-01,4.34
1958-07-01,4.16
1958-08-01,3.68
1958-09-01,3.55
1958-10-01,3.72
1958-11-01,3.51
1958-12-01,4.5
1959-01-01,5.37
1959-02-01,4.34
1959-03-01,3.19
1959-04-01,3.52
1959-05-01,3.56
1959-06-01,3.44
1959-07-01,3.5
1959-08-01,3.49
1959-09-01,2.75
1959-10-01,1.99
1959-11-01,1.13
1959-12-01,0.63
1960-01-01,-1.16
1960-02-01,0.24
1960-03-01,0.98
1960-04-01,2.34
1960-05-01,1.55
1960-06-01,1.45
1960-07-01,1.59
1960-08-01,-0.11
1960-09-01,-1.03
1960-10-01,1.0
1960-11-01,0.47
1960-12-01,1.7
1961-01-01,0.98
1961-02-01,0.05
1961-03-01,0.31
1961-04-01,-1.22
1961-05-01,-1.57
1961-06-01,-0.67
1961-07-01,1.52
1961-08-01,1.49
1961-09-01,1.06
1961-10-01,1.02
1961-11-01,-1.23
1961-12-01,-2.33
1962-01-01,-1.62
1962-02-01,-1.0
1962-03-01,0.77
1962-04-01,1.43
1962-05-01,-0.26
1962-06-01,-0.74
1962-07-01,-0.13
1962-08-01,-0.81
1962-09-01,-0.99
1962-10-01,-1.26
1962-11-01,0.16
1962-12-01,0.25
1963-01-01,-0.13
1963-02-01,2.69
1963-03-01,1.89
1963-04-01,2.73
1963-05-01,0.85
1963-06-01,-0.55
1963-07-01,-0.79
1963-08-01,-0.67
1963-09-01,-0.09
1963-10-01,0.0
1963-11-01,-0.13
1963-12-01,-0.2
1964-01-01,0.02
1964-02-01,-0.41
1964-03-01,-1.62
1964-04-01,0.13
1964-05-01,2.09
1964-06-01,2.21
1964-07-01,0.47
1964-08-01,0.06
1964-09-01,-2.84
1964-10-01,-2.3
1964-11-01,-1.78
1964-12-01,-0.57
1965-01-01,-0.99
1965-02-01,-1.97
1965-03-01,-2.26
1965-04-01,-2.1
1965-05-01,-2.91
1965-06-01,-4.32
1965-07-01,-4.58
1965-08-01,-3.25
1965-09-01,-1.64
1965-10-01,-0.63
1965-11-01,-0.63
1965-12-01,-1.62
1966-01-01,-2.0
1966-02-01,-0.86
1966-03-01,2.97
1966-04-01,3.99
1966-05-01,4.87
1966-06-01,3.9
1966-07-01,3.55
1966-08-01,2.81
1966-09-01,3.31
1966-10-01,3.52
1966-11-01,4.86
1966-12-01,4.4
1967-01-01,1.6
1967-02-01,0.71
1967-03-01,2.99
1967-04-01,4.03
1967-05-01,4.07
1967-06-01,3.88
1967-07-01,4.8
1967-08-01,5.64
1967-09-01,5.97
1967-10-01,5.03
1967-11-01,4.46
1967-12-01,3.42
1968-01-01,4.11
1968-02-01,6.22
1968-03-01,6.42
1968-04-01,5.76
1968-05-01,6.19
1968-06-01,5.78
1968-07-01,3.03
1968-08-01,1.88
1968-09-01,1.69
1968-10-01,3.34
1968-11-01,3.93
1968-12-01,3.59
1969-01-01,3.96
1969-02-01,3.38
1969-03-01,0.95
1969-04-01,1.18
1969-05-01,0.59
1969-06-01,1.17
1969-07-01,0.62
1969-08-01,-0.69
1969-09-01,-1.59
1969-10-01,-2.48
1969-11-01,-2.09
1969-12-01,-0.62
1970-01-01,0.29
1970-02-01,1.34
1970-03-01,1.56
1970-04-01,1.02
1970-05-01,0.6
1970-06-01,1.65
1970-07-01,2.12
1970-08-01,1.62
1970-09-01,0.19
1970-10-01,0.69
1970-11-01,1.66
1970-12-01,0.04
1971-01-01,-1.72
1971-02-01,-1.58
1971-03-01,-2.55
1971-04-01,-2.98
1971-05-01,-3.26
1971-06-01,-3.92
1971-07-01,-3.56
1971-08-01,-2.01
1971-09-01,-2.35
1971-10-01,-2.55
1971-11-01,-3.61
1971-12-01,-4.51
1972-01-01,-4.76
1972-02-01,-2.98
1972-03-01,-1.31
1972-04-01,-0.86
1972-05-01,-1.74
1972-06-01,-2.51
1972-07-01,-3.59
1972-08-01,-4.52
1972-09-01,-4.14
1972-10-01,-4.49
1972-11-01,-5.49
1972-12-01,-4.87
1973-01-01,-4.21
1973-02-01,-2.96
1973-03-01,-2.34
1973-04-01,-1.2
1973-05-01,0.45
1973-06-01,0.08
1973-07-01,1.03
1973-08-01,-0.33
1973-09-01,-1.01
1973-10-01,-1.38
1973-11-01,-0.86
1973-12-01,-1.34
1974-01-01,-0.48
1974-02-01,-1.32
1974-03-01,-1.73
1974-04-01,-1.74
1974-05-01,-3.26
1974-06-01,-4.08
1974-07-01,-3.73
1974-08-01,-3.18
1974-09-01,-2.23
1974-10-01,-2.78
1974-11-01,-3.57
1974-12-01,-3.27
1975-01-01,-4.57
1975-02-01,-3.5
1975-03-01,-4.42
1975-04-01,-5.28
1975-05-01,-4.89
1975-06-01,-3.99
1975-07-01,-4.34
1975-08-01,-4.8
1975-09-01,-4.63
1975-10-01,-4.95
1975-11-01,-5.25
1975-12-01,-3.14
1976-01-01,-2.5
1976-02-01,-2.5
1976-03-01,-1.87
1976-04-01,-4.2
1976-05-01,-5.47
1976-06-01,-6.24
1976-07-01,-6.29
1976-08-01,-6.02
1976-09-01,-4.79
1976-10-01,-2.79
1976-11-01,-1.8
1976-12-01,-1.69
1977-01-01,-1.94
1977-02-01,-1.15
1977-03-01,-2.31
1977-04-01,-1.52
1977-05-01,-1.59
1977-06-01,-1.37
1977-07-01,0.22
1977-08-01,2.44
1977-09-01,3.39
1977-10-01,1.7
1977-11-01,0.85
1977-12-01,2.23
1978-01-01,3.14
1978-02-01,3.02
1978-03-01,3.22
1978-04-01,3.59
1978-05-01,2.96
1978-06-01,3.5
1978-07-01,3.94
