branch,lead_months,circular_mae_rad,phasor_cosine,series,correlation,rmse,mae,r2
event,1,0.6474958716971252,0.7079348532497594,,,,,
strength,1,,,IMF1_IA,0.9582995977313272,0.1174069878678446,0.09097807686210942,0.9183347882743026
strength,1,,,IMF2_IA,0.9799215538460208,0.12253785471293514,0.08194026079623966,0.9555371382730733
strength,1,,,IMF3_IA,0.9758139962026108,0.13381485529081893,0.1072560436364007,0.9474268175265829
strength,1,,,IMF4_IA,0.9994645652708138,0.03647773010968671,0.028826678291235953,0.9980822878754273
strength,1,,,IMF5_IA,0.9998639271012936,0.017532253074229794,0.01476580194349525,0.9990637844885556
strength,1,,,IMF6_IA,0.9864786085389546,0.08629735161419748,0.055878940288422545,0.9726171258047449
event,3,0.7220026174873241,0.6439349861092777,,,,,
strength,3,,,IMF1_IA,0.887524243976316,0.19197223040653008,0.14923390765123948,0.7872649787813046
strength,3,,,IMF2_IA,0.9632508403687482,0.16706522778279653,0.11230548394480286,0.9182393237944018
strength,3,,,IMF3_IA,0.9500230441142258,0.1861063502031486,0.15177797588553055,0.8976590705107313
strength,3,,,IMF4_IA,0.9983067170347325,0.06240479791409014,0.04895691020873289,0.994259231057513
strength,3,,,IMF5_IA,0.999624635727505,0.02299187926485754,0.018004252461735273,0.998272716965779
strength,3,,,IMF6_IA,0.9809913981871106,0.20466311594646816,0.14903981855852955,0.8397153949251422
event,6,0.790697667462996,0.5911528355144604,,,,,
strength,6,,,IMF1_IA,0.7692520650690182,0.2637972729151104,0.20153410751515557,0.5893501104561651
strength,6,,,IMF2_IA,0.9599859380963736,0.17191587724891816,0.12623339841737524,0.9117620040280566
strength,6,,,IMF3_IA,0.9124336728856509,0.24938237402985614,0.19997302294238514,0.8242000986149354
strength,6,,,IMF4_IA,0.9955139517731403,0.09765679081858838,0.08150289631900538,0.9852984116477688
strength,6,,,IMF5_IA,0.9993878721514268,0.03788407625417114,0.027819153986129417,0.9947758464680422
strength,6,,,IMF6_IA,0.941561132015976,0.2034385176259781,0.14287002624719386,0.8317235214133183
event,9,0.9438497814886373,0.486470169887783,,,,,
strength,9,,,IMF1_IA,0.6931421787138995,0.29709627825671614,0.24049427303141127,0.4761515409701901
strength,9,,,IMF2_IA,0.9403326592712514,0.2044229855872327,0.1560709816654428,0.8768592972815625
strength,9,,,IMF3_IA,0.9128475918603095,0.27842214277226446,0.22157520209248696,0.8040992474433877
strength,9,,,IMF4_IA,0.9913504104917181,0.1362095716095996,0.10871578489010976,0.9700101598459442
strength,9,,,IMF5_IA,0.9981136662432032,0.04735765130730366,0.03570799860196371,0.9909298899203434
strength,9,,,IMF6_IA,0.9285048617236213,0.19069089873930836,0.11572809094128036,0.8438693368433623
event,12,1.0195703472661393,0.42918403109257863,,,,,
strength,12,,,IMF1_IA,0.6728769913292563,0.30177551245777173,0.2380471034398805,0.4478217698685677
strength,12,,,IMF2_IA,0.9082271254875096,0.24299303427360652,0.18527747017344667,0.814450918792676
strength,12,,,IMF3_IA,0.9135110295911896,0.3274124118372766,0.25879570640061544,0.7726529460005173
strength,12,,,IMF4_IA,0.9859147960535612,0.16872446356877743,0.13470285580700803,0.952055596516243
strength,12,,,IMF5_IA,0.9966717772390618,0.0716506783674939,0.05593951371341727,0.9772108737978795
strength,12,,,IMF6_IA,0.8965761131837819,0.23306871472696783,0.1681484254338955,0.7579209053582249
