date,lead_months,method,forecast
2026-03-01,1,M0 Persistence,1.92
2026-04-01,2,M0 Persistence,1.92
2026-05-01,3,M0 Persistence,1.92
2026-06-01,4,M0 Persistence,1.92
2026-07-01,5,M0 Persistence,1.92
2026-08-01,6,M0 Persistence,1.92
2026-09-01,7,M0 Persistence,1.92
2026-10-01,8,M0 Persistence,1.92
2026-11-01,9,M0 Persistence,1.92
2026-12-01,10,M0 Persistence,1.92
2027-01-01,11,M0 Persistence,1.92
2027-02-01,12,M0 Persistence,1.92
2027-03-01,13,M0 Persistence,1.92
2027-04-01,14,M0 Persistence,1.92
2027-05-01,15,M0 Persistence,1.92
2027-06-01,16,M0 Persistence,1.92
2027-07-01,17,M0 Persistence,1.92
2027-08-01,18,M0 Persistence,1.92
2027-09-01,19,M0 Persistence,1.92
2027-10-01,20,M0 Persistence,1.92
2027-11-01,21,M0 Persistence,1.92
2027-12-01,22,M0 Persistence,1.92
2028-01-01,23,M0 Persistence,1.92
2028-02-01,24,M0 Persistence,1.92
2028-03-01,25,M0 Persistence,1.92
2028-04-01,26,M0 Persistence,1.92
2028-05-01,27,M0 Persistence,1.92
2028-06-01,28,M0 Persistence,1.92
2028-07-01,29,M0 Persistence,1.92
2028-08-01,30,M0 Persistence,1.92
2028-09-01,31,M0 Persistence,1.92
2028-10-01,32,M0 Persistence,1.92
2028-11-01,33,M0 Persistence,1.92
2028-12-01,34,M0 Persistence,1.92
2026-03-01,1,M1 Direct NN,1.5372578837075739
2026-04-01,2,M1 Direct NN,1.2122565588139211
2026-05-01,3,M1 Direct NN,1.2223990669987863
2026-06-01,4,M1 Direct NN,1.886760373409136
2026-07-01,5,M1 Direct NN,1.7412452823520588
2026-08-01,6,M1 Direct NN,2.342581451610209
2026-09-01,7,M1 Direct NN,1.144477255554524
2026-10-01,8,M1 Direct NN,2.596332827039066
2026-11-01,9,M1 Direct NN,2.4571758462264475
2026-12-01,10,M1 Direct NN,1.3639407035908573
2027-01-01,11,M1 Direct NN,2.4079558764593667
2027-02-01,12,M1 Direct NN,0.7839142355222943
2027-03-01,13,M1 Direct NN,1.9793183575810824
2027-04-01,14,M1 Direct NN,0.4811187989193723
2027-05-01,15,M1 Direct NN,1.2545873173942588
2027-06-01,16,M1 Direct NN,0.2759863866604657
