level,series,method,lead_months,n,correlation,rmse,mae,r2,slope,variance_ratio
signal,pmm_sst,M0 Persistence,1,129,0.8986399071940331,1.40844077843429,1.1359689922480622,0.7980162534971285,0.8950075371546292,0.9919321880676697
signal,pmm_sst,M0 Persistence,3,129,0.5627335307180736,2.9508411624300406,2.456279069767442,0.1422545968222998,0.5512613328166609,0.9596425022267946
signal,pmm_sst,M0 Persistence,6,129,0.19990929671135357,4.026597328578017,3.4397674418604653,-0.5467278661758774,0.1927183708887555,0.9293520236524625
signal,pmm_sst,M0 Persistence,9,129,0.10482940989133699,4.2549824875071165,3.4607751937984492,-0.740179676170162,0.10143872474000101,0.9363566072387259
signal,pmm_sst,M0 Persistence,12,129,0.1841436877945444,3.9800112967780152,3.3010852713178296,-0.6719396750253745,0.18672574636582054,1.0282405700187887
signal,pmm_sst,M1 Direct NN,1,129,0.7610883757095214,2.134140468802134,1.7916091171470065,0.5362485883646579,0.6172603332162524,0.6577586378977686
signal,pmm_sst,M1 Direct NN,3,129,0.51547840237894,2.9693682376239745,2.4878289974539993,0.13144994775579932,0.3650990668525038,0.5016496322586883
signal,pmm_sst,M1 Direct NN,6,129,0.3395292712480917,3.5670216128302203,2.927788314406915,-0.21380518780627566,0.22254303562915265,0.42960919987474516
signal,pmm_sst,M1 Direct NN,9,129,0.3603345067445832,3.630687334805956,3.0631983281404422,-0.26699890245704694,0.24985845886653663,0.48081322742368227
signal,pmm_sst,M1 Direct NN,12,129,0.41520459500480267,3.364522161305814,2.7400299277391764,-0.19480981248266183,0.28797577129085505,0.48104709683782093
signal,pmm_sst,M2 HHSA single ResNet,1,129,0.9071732911751516,2.112004859558855,1.7723163565004543,0.5458188888983959,0.9073987291369469,1.0004970736579806
signal,pmm_sst,M2 HHSA single ResNet,3,129,0.8683841764512911,2.3474433502879153,1.9231997331291786,0.457178583227001,0.8097198572030343,0.8694523332184209
signal,pmm_sst,M2 HHSA single ResNet,6,129,0.8190865270611788,2.1194516065921687,1.5782407326950716,0.5714667571295282,0.706853707289859,0.7447311429869945
signal,pmm_sst,M2 HHSA single ResNet,9,129,0.7876232709412451,2.2673124773286655,1.860733279756007,0.5058926727140678,0.5005138642270082,0.4038268073130872
signal,pmm_sst,M2 HHSA single ResNet,12,129,0.505184374116252,2.687077112698747,2.1629848626136767,0.2378994872971023,0.2130348446955532,0.1778285429237821
signal,pmm_sst,M4 Dual physical reconstruction,1,129,0.8476420011707649,1.9001694736670232,1.3690600910745188,0.6323590193854387,0.8786320608944013,1.0744572894543225
signal,pmm_sst,M4 Dual physical reconstruction,3,129,0.7871108549997688,2.0558124651835645,1.434258842362377,0.5836738183472362,0.7668788594030366,0.9492524525595158
signal,pmm_sst,M4 Dual physical reconstruction,6,129,0.8060446053460343,2.026508182273386,1.5831308883294573,0.6082272446653656,0.8138499024291801,1.019460680351162
signal,pmm_sst,M4 Dual physical reconstruction,9,129,0.7707922053950311,2.1641020052627056,1.7397366012503273,0.5498533804220225,0.740481207524054,0.9228974666778453
signal,pmm_sst,M4 Dual physical reconstruction,12,129,0.5278150511279082,2.889870415986817,2.2598296824662683,0.11852757201752195,0.4825070633676895,0.8356873147967079
signal,pmm_sst,M5 Dual fusion ResNet,1,129,-0.1477703172590366,7.143129273607483,6.36296300644502,-4.195367364203791,-0.04958538632782776,0.11259860007042785
signal,pmm_sst,M5 Dual fusion ResNet,3,129,0.6224290012743975,3.4122094209861022,2.845275879933469,-0.1469331059927521,0.22465191552519875,0.13026885992590995
signal,pmm_sst,M5 Dual fusion ResNet,6,129,-0.3117996763096705,5.099912102530132,4.417707902566013,-1.4812063840204552,-0.08985744192597725,0.08305327869307705
signal,pmm_sst,M5 Dual fusion ResNet,9,129,-0.14295664342841577,4.036303507152341,3.301248996813974,-0.5659077328285289,-0.037803853515034194,0.06992998873084885
signal,pmm_sst,M5 Dual fusion ResNet,12,129,-0.23789187917380594,6.741847402432347,5.829982336590568,-3.797443080834431,-0.10588756222009868,0.19812107053601333
AM-IMF,IMF1_AMIMF1,Strength component NN,1,129,0.870323620355481,0.11295755871513836,0.08722955694085673,0.7536695744450552,0.7038864717255695,0.6540993177815472
AM-IMF,IMF1_AMIMF1,Strength component NN,3,129,0.6570595463028874,0.1773706101926407,0.13587843128253901,0.4237087104823126,0.373475275935932,0.32308310994821926
AM-IMF,IMF1_AMIMF1,Strength component NN,6,129,0.0929527157256136,0.24184558409171442,0.18813964447453974,-0.08530767490780078,0.037098060414439284,0.15928623342568232
AM-IMF,IMF1_AMIMF1,Strength component NN,9,129,-0.045656399548939255,0.25227246469028913,0.20051626497418154,-0.1873376864384051,-0.017777876776608737,0.15161998976755392
AM-IMF,IMF1_AMIMF1,Strength component NN,12,129,-0.17174388943744082,0.2567614199501103,0.20689053421178152,-0.2295407195225152,-0.057899267504755894,0.11365369267799527
AM-IMF,IMF1_AMIMF2,Strength component NN,1,129,0.9859415507551509,0.026850920577783752,0.019328218985375047,0.9640021750174995,1.0565298437934523,1.1483154260390576
AM-IMF,IMF1_AMIMF2,Strength component NN,3,129,0.9266163193647852,0.05828378460318995,0.04460993357148679,0.8260397188797072,1.024619755691172,1.2227159042144344
AM-IMF,IMF1_AMIMF2,Strength component NN,6,129,0.8828970598375744,0.06548145645636237,0.0521311465893618,0.7480528527865538,0.8799359423667368,0.9933035185837263
AM-IMF,IMF1_AMIMF2,Strength component NN,9,129,0.7331249399538793,0.10155846371925277,0.08109659030208986,0.3684392575507688,0.8375801828603677,1.3052593082604367
AM-IMF,IMF1_AMIMF2,Strength component NN,12,129,0.5187806107036546,0.10621221032547859,0.08515343922002247,0.15896313837528409,0.43926945313237353,0.7169593530490507
AM-IMF,IMF1_AMIMF3,Strength component NN,1,129,0.9920866858340615,0.02571265489064794,0.01953399948021784,0.984116915211093,0.9747728045263219,0.9654006030721722
AM-IMF,IMF1_AMIMF3,Strength component NN,3,129,0.9749007494353306,0.04587345160000033,0.03554632487522724,0.9491893655861913,0.9182363576199276,0.8871318279755385
AM-IMF,IMF1_AMIMF3,Strength component NN,6,129,0.9303751198244447,0.07665896435209525,0.0598266972573012,0.8607287139237887,0.845323609872222,0.8255242248925323
AM-IMF,IMF1_AMIMF3,Strength component NN,9,129,0.9348216154466398,0.07457660814924445,0.05907010318690076,0.8702136298804073,0.8173725835408444,0.7645090683233813
AM-IMF,IMF1_AMIMF3,Strength component NN,12,129,0.9150748859688445,0.08761818214938051,0.07308883522842809,0.8194873476669836,0.7283893316288923,0.6335981196847457
AM-IMF,IMF1_AMIMF4,Strength component NN,1,129,0.9981459639614161,0.014941800374488735,0.013192118900732665,0.9929337112512369,0.9403791966828681,0.8876012719614704
AM-IMF,IMF1_AMIMF4,Strength component NN,3,129,0.9951143764363638,0.022346851457371385,0.019781670483944212,0.9843216669634801,0.9164211049693457,0.8480943375596693
AM-IMF,IMF1_AMIMF4,Strength component NN,6,129,0.9892645320045621,0.03305954915320479,0.02944050479170623,0.9666024750750172,0.8774939140319787,0.786798183901903
AM-IMF,IMF1_AMIMF4,Strength component NN,9,129,0.9847028470168236,0.04150079500079548,0.03569571628540597,0.9501264265672776,0.8508235220261549,0.746566655563039
AM-IMF,IMF1_AMIMF4,Strength component NN,12,129,0.9749635360515957,0.05219270112824638,0.04558501161519405,0.927576071002151,0.8217039030480208,0.7103198531697833
AM-IMF,IMF1_AMIMF5,Strength component NN,1,129,0.9978206681750096,0.006573852778074952,0.005370769391892725,0.989728228886762,0.9680633500797912,0.9412447486093193
AM-IMF,IMF1_AMIMF5,Strength component NN,3,129,0.9965789180666832,0.009966675931742476,0.008305624491160346,0.9784309216051408,0.915329401982055,0.8435900220899784
AM-IMF,IMF1_AMIMF5,Strength component NN,6,129,0.9933608765005707,0.012770579210180205,0.009996841188519833,0.969110876304083,0.8625277503211044,0.753931780702943
AM-IMF,IMF1_AMIMF5,Strength component NN,9,129,0.9808563228912416,0.028135932072785506,0.023119649850516857,0.8689334307632686,0.769399519762141,0.6153086632028146
AM-IMF,IMF1_AMIMF5,Strength component NN,12,129,0.9827443180314936,0.028477086413911442,0.021693020604138812,0.8820519245920462,0.7037561013925483,0.5128180030331407
AM-IMF,IMF2_AMIMF1,Strength component NN,1,129,0.8455769473705245,0.11467890511175934,0.08321623819256571,0.7126270293698846,0.6944314678307056,0.6744542815644169
AM-IMF,IMF2_AMIMF1,Strength component NN,3,129,0.7283973276651231,0.1486125766550867,0.1100603836510539,0.518909281723255,0.45450783237123915,0.38935526857638836
AM-IMF,IMF2_AMIMF1,Strength component NN,6,129,0.6510883250464571,0.152652734206987,0.11921432208804181,0.3857678052604929,0.5456794516023944,0.7024175991844551
AM-IMF,IMF2_AMIMF1,Strength component NN,9,129,0.4130870679903944,0.17944695042041223,0.14331877003530022,0.1536546163881256,0.22270040354526338,0.2906422918411048
AM-IMF,IMF2_AMIMF1,Strength component NN,12,129,0.28250980496943273,0.18669421731941782,0.14794011727935996,0.048870623196370255,0.1282833326584925,0.20619276247019835
AM-IMF,IMF2_AMIMF2,Strength component NN,1,129,0.9931762510673623,0.04698296076206893,0.035142668704339235,0.9807628281569176,0.9842518400683068,0.9821092886030546
AM-IMF,IMF2_AMIMF2,Strength component NN,3,129,0.9821943551645147,0.07068628455205024,0.05379356223969156,0.9528408583333676,0.9486774925082071,0.9329155377823487
AM-IMF,IMF2_AMIMF2,Strength component NN,6,129,0.952982267234661,0.10687346435544542,0.08378731020295893,0.8837629090828603,0.9310142490186424,0.9544276592092031
AM-IMF,IMF2_AMIMF2,Strength component NN,9,129,0.9276088857837201,0.12383459331249048,0.1046499412288052,0.8457679366365981,0.9125638433057246,0.9678247293958061
AM-IMF,IMF2_AMIMF2,Strength component NN,12,129,0.8911113482842568,0.14614902452341383,0.12188422090577082,0.7857033991880948,0.8611628585150845,0.933913455204381
AM-IMF,IMF2_AMIMF3,Strength component NN,1,129,0.9990133789381191,0.016571445011253412,0.013141349755514006,0.9963318120366624,0.9570665876345164,0.9177865749037643
AM-IMF,IMF2_AMIMF3,Strength component NN,3,129,0.99819555508576,0.021922627637177554,0.019088715429766485,0.9939095700818166,0.9480045584716025,0.9019647976500961
AM-IMF,IMF2_AMIMF3,Strength component NN,6,129,0.9965550113006261,0.0346023029038282,0.029524352533543154,0.9856926796013482,0.9086151786124345,0.8312993104492236
AM-IMF,IMF2_AMIMF3,Strength component NN,9,129,0.9916521008058367,0.05543089675410371,0.04583671966144523,0.964488715187074,0.8490771774728906,0.7331210044782979
AM-IMF,IMF2_AMIMF3,Strength component NN,12,129,0.9830785909260327,0.07198373158074443,0.06067223998695169,0.940729664327329,0.8138547902765372,0.6853578183654191
AM-IMF,IMF2_AMIMF4,Strength component NN,1,129,0.9993861251037692,0.008163723850408785,0.005567972650187186,0.9986354774068427,1.0050224729077222,1.01131142733957
AM-IMF,IMF2_AMIMF4,Strength component NN,3,129,0.9990742988290185,0.01023108257750704,0.00798401764045475,0.997804870836811,1.0124659252218007,1.0269877371879728
AM-IMF,IMF2_AMIMF4,Strength component NN,6,129,0.9986287503255422,0.012168190644126121,0.009365672871304994,0.9967915769489692,1.0179997004735357,1.0391713629699788
AM-IMF,IMF2_AMIMF4,Strength component NN,9,129,0.9967486778982382,0.017635398241303783,0.013617090252522992,0.9930794690768284,1.010146653268469,1.0270640359173806
AM-IMF,IMF2_AMIMF4,Strength component NN,12,129,0.9937880250653197,0.023705947227667286,0.017617816112486542,0.9872752610156098,0.9925581369295609,0.9975263797413848
AM-IMF,IMF2_AMIMF5,Strength component NN,1,129,0.9997678198041966,0.004425361733287489,0.0039889023279228745,0.9995098433940125,0.9952747547396472,0.9910319799961911
AM-IMF,IMF2_AMIMF5,Strength component NN,3,129,0.9997794054934782,0.004981512397882867,0.004139338324529,0.9994161814553002,0.9949872054733967,0.9904364605437138
AM-IMF,IMF2_AMIMF5,Strength component NN,6,129,0.9995592840346558,0.012507201237184597,0.009918680322097898,0.9966290998776413,0.9796414916317155,0.9605439196410254
