date,pmm_wind
1948-01-01,3.89
1948-02-01,0.15
1948-03-01,-1.09
1948-04-01,7.29
1948-05-01,-2.35
1948-06-01,7.61
1948-07-01,3.46
1948-08-01,2.6
1948-09-01,0.16
1948-10-01,-4.93
1948-11-01,-5.01
1948-12-01,-12.9
1949-01-01,-3.78
1949-02-01,-4.47
1949-03-01,-4.21
1949-04-01,-3.7
1949-05-01,3.38
1949-06-01,2.23
1949-07-01,-0.63
1949-08-01,-0.8
1949-09-01,-0.49
1949-10-01,-2.59
1949-11-01,1.68
1949-12-01,-1.55
1950-01-01,8.8
1950-02-01,0.27
1950-03-01,-5.0
1950-04-01,0.52
1950-05-01,-4.53
1950-06-01,-1.56
1950-07-01,0.57
1950-08-01,0.19
1950-09-01,-0.22
1950-10-01,-3.37
1950-11-01,9.44
1950-12-01,2.95
1951-01-01,-10.5
1951-02-01,-4.05
1951-03-01,5.34
1951-04-01,1.58
1951-05-01,2.95
1951-06-01,4.51
1951-07-01,-3.85
1951-08-01,-1.41
1951-09-01,0.91
1951-10-01,-3.28
1951-11-01,-13.05
1951-12-01,-8.73
1952-01-01,-6.68
1952-02-01,-9.16
1952-03-01,-13.7
1952-04-01,-0.94
1952-05-01,2.25
1952-06-01,-6.22
1952-07-01,1.95
1952-08-01,0.23
1952-09-01,-0.73
1952-10-01,1.03
1952-11-01,-8.44
1952-12-01,-7.1
1953-01-01,-0.06
1953-02-01,-11.79
1953-03-01,-5.57
1953-04-01,-0.37
1953-05-01,-7.12
1953-06-01,-4.6
1953-07-01,-2.77
1953-08-01,-2.23
1953-09-01,-3.83
1953-10-01,-5.26
1953-11-01,-9.22
1953-12-01,-6.68
1954-01-01,-1.62
1954-02-01,4.32
1954-03-01,7.36
1954-04-01,10.81
1954-05-01,5.08
1954-06-01,0.94
1954-07-01,0.49
1954-08-01,0.1
1954-09-01,-0.85
1954-10-01,-0.7
1954-11-01,1.54
1954-12-01,-2.09
1955-01-01,-11.35
1955-02-01,-4.92
1955-03-01,0.21
1955-04-01,-3.87
1955-05-01,-3.85
1955-06-01,-1.0
1955-07-01,-3.26
