date,lead_months,method,forecast
2026-03-01,1,M0 Persistence,-3.82
2026-04-01,2,M0 Persistence,-3.82
2026-05-01,3,M0 Persistence,-3.82
2026-06-01,4,M0 Persistence,-3.82
2026-07-01,5,M0 Persistence,-3.82
2026-08-01,6,M0 Persistence,-3.82
2026-09-01,7,M0 Persistence,-3.82
2026-10-01,8,M0 Persistence,-3.82
2026-11-01,9,M0 Persistence,-3.82
2026-12-01,10,M0 Persistence,-3.82
2027-01-01,11,M0 Persistence,-3.82
2027-02-01,12,M0 Persistence,-3.82
2027-03-01,13,M0 Persistence,-3.82
2027-04-01,14,M0 Persistence,-3.82
2027-05-01,15,M0 Persistence,-3.82
2027-06-01,16,M0 Persistence,-3.82
2027-07-01,17,M0 Persistence,-3.82
2027-08-01,18,M0 Persistence,-3.82
2027-09-01,19,M0 Persistence,-3.82
2027-10-01,20,M0 Persistence,-3.82
2027-11-01,21,M0 Persistence,-3.82
2027-12-01,22,M0 Persistence,-3.82
2028-01-01,23,M0 Persistence,-3.82
2028-02-01,24,M0 Persistence,-3.82
2028-03-01,25,M0 Persistence,-3.82
2028-04-01,26,M0 Persistence,-3.82
2028-05-01,27,M0 Persistence,-3.82
2028-06-01,28,M0 Persistence,-3.82
2028-07-01,29,M0 Persistence,-3.82
2028-08-01,30,M0 Persistence,-3.82
2028-09-01,31,M0 Persistence,-3.82
2028-10-01,32,M0 Persistence,-3.82
2028-11-01,33,M0 Persistence,-3.82
2028-12-01,34,M0 Persistence,-3.82
2026-03-01,1,M1 Direct NN,-1.4982782051866925
2026-04-01,2,M1 Direct NN,-1.2361452339770833
2026-05-01,3,M1 Direct NN,-1.4003309801019075
2026-06-01,4,M1 Direct NN,-0.2576493913691698
2026-07-01,5,M1 Direct NN,-0.29233104622789524
2026-08-01,6,M1 Direct NN,-0.4783021064836045
2026-09-01,7,M1 Direct NN,-0.30665531647816396
2026-10-01,8,M1 Direct NN,0.47551471679964835
2026-11-01,9,M1 Direct NN,-0.2763875911209294
2026-12-01,10,M1 Direct NN,-0.750734928638834
2027-01-01,11,M1 Direct NN,-0.7308605899074315
2027-02-01,12,M1 Direct NN,-0.5562295965890077
2027-03-01,13,M1 Direct NN,0.44391911161843495
2027-04-01,14,M1 Direct NN,-0.5007690272038623
2027-05-01,15,M1 Direct NN,0.5176424366853491
2027-06-01,16,M1 Direct NN,-0.9547569368428483
2027-07-01,17,M1 Direct NN,-0.7387359433957609
2027-08-01,18,M1 Direct NN,-1.1178393064327339
2027-09-01,19,M1 Direct NN,0.3591134886562023
2027-10-01,20,M1 Direct NN,0.34799458930640315
2027-11-01,21,M1 Direct NN,1.2707250001612689
2027-12-01,22,M1 Direct NN,-0.0019013494511364581
2028-01-01,23,M1 Direct NN,0.1741635976211988
2028-02-01,24,M1 Direct NN,0.277913896855623
2028-03-01,25,M1 Direct NN,1.1747826576735185
2028-04-01,26,M1 Direct NN,-0.8746704350274189
2028-05-01,27,M1 Direct NN,0.319946534981674
2028-06-01,28,M1 Direct NN,0.47127361257372513
2028-07-01,29,M1 Direct NN,0.05012157830785627
2028-08-01,30,M1 Direct NN,0.4034575434974488
2028-09-01,31,M1 Direct NN,0.283632293253768
2028-10-01,32,M1 Direct NN,-0.038156683911170525
2028-11-01,33,M1 Direct NN,0.5336533998837389
2028-12-01,34,M1 Direct NN,0.8095288343630826
2026-03-01,1,M2 HHSA single ResNet,5.771795299927185
2026-04-01,2,M2 HHSA single ResNet,0.8666783704973912
2026-05-01,3,M2 HHSA single ResNet,-4.167882908636144
2026-06-01,4,M2 HHSA single ResNet,-3.760645561729334
2026-07-01,5,M2 HHSA single ResNet,-0.1654850165616099
2026-08-01,6,M2 HHSA single ResNet,4.2420187050857345
2026-09-01,7,M2 HHSA single ResNet,9.40334307158221
2026-10-01,8,M2 HHSA single ResNet,9.964058794881328
2026-11-01,9,M2 HHSA single ResNet,7.979211434449212
2026-12-01,10,M2 HHSA single ResNet,8.125724751924151
2027-01-01,11,M2 HHSA single ResNet,4.601722454760069
2027-02-01,12,M2 HHSA single ResNet,5.971071592101609
2027-03-01,13,M2 HHSA single ResNet,2.70710415183279
2027-04-01,14,M2 HHSA single ResNet,-2.643218303259411
2027-05-01,15,M2 HHSA single ResNet,-0.3808589040029159
2027-06-01,16,M2 HHSA single ResNet,-2.152710911283905
2027-07-01,17,M2 HHSA single ResNet,-3.318979010093122
2027-08-01,18,M2 HHSA single ResNet,-4.511169083998005
2027-09-01,19,M2 HHSA single ResNet,-7.023275733314794
2027-10-01,20,M2 HHSA single ResNet,-6.07453826403714
2027-11-01,21,M2 HHSA single ResNet,-7.065347397756517
2027-12-01,22,M2 HHSA single ResNet,-10.121266775920441
2028-01-01,23,M2 HHSA single ResNet,-9.495557869293489
2028-02-01,24,M2 HHSA single ResNet,-11.58036115757107
2028-03-01,25,M2 HHSA single ResNet,-8.464551987437012
2028-04-01,26,M2 HHSA single ResNet,-11.887187824872328
2028-05-01,27,M2 HHSA single ResNet,-9.03076811620397
2028-06-01,28,M2 HHSA single ResNet,-6.590868625930801
2028-07-01,29,M2 HHSA single ResNet,-7.282672668854291
2028-08-01,30,M2 HHSA single ResNet,-7.198219177541775
2028-09-01,31,M2 HHSA single ResNet,-5.561521107358783
2028-10-01,32,M2 HHSA single ResNet,-5.33555661202
2028-11-01,33,M2 HHSA single ResNet,-4.8939833852977115
2028-12-01,34,M2 HHSA single ResNet,-6.213170719631153
2026-03-01,1,M4 Dual physical reconstruction,-2.876969992247771
2026-04-01,2,M4 Dual physical reconstruction,0.8150284529796341
2026-05-01,3,M4 Dual physical reconstruction,-1.0789210639102227
2026-06-01,4,M4 Dual physical reconstruction,-0.4078253010114601
2026-07-01,5,M4 Dual physical reconstruction,-4.787362106528994
2026-08-01,6,M4 Dual physical reconstruction,-1.4639154192919142
2026-09-01,7,M4 Dual physical reconstruction,-1.1245890610113096
2026-10-01,8,M4 Dual physical reconstruction,-8.577048773690219
2026-11-01,9,M4 Dual physical reconstruction,-2.5901242190915053
2026-12-01,10,M4 Dual physical reconstruction,0.21206134349172068
2027-01-01,11,M4 Dual physical reconstruction,-5.912770743668407
2027-02-01,12,M4 Dual physical reconstruction,-7.375911784727053
2027-03-01,13,M4 Dual physical reconstruction,-4.125852175588154
2027-04-01,14,M4 Dual physical reconstruction,-0.5416278588704904
2027-05-01,15,M4 Dual physical reconstruction,-7.657734335888543
2027-06-01,16,M4 Dual physical reconstruction,-3.921737096046778
